ghost_slug,canonical_slug,method,confidence
seven-ai-income-paths-mine-dig-shovel-map,seven-ai-side-hustle-paths,override,1.000
side-hustle-ecommerce-two-plays-listing-relay,side-hustle-ecommerce-tiktok-shop-2026-playbook,override,1.000
social-media-side-hustle-note-spine-weight-gate,xiaohongshu-monetization-note-commerce-grid,override,1.000
start-earning-passive-income-honest-gates,boring-path-passive-income-index-funds-reits,override,1.000
start-earning-without-investment-capital-gates,start-earning-money-online-without-investment-triple-lane,override,1.000
start-earning-without-investment-proof-loop,start-earning-money-online-without-investment-triple-lane,override,1.000
strategies-freelance-escrow-milestone-fences,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-escrow-milestone-map,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-escrow-milestone-spine,strategies-to-make-money-escrow-milestone-map,override,1.000
strategies-freelance-gigs-platform-scorecard,earn-money-from-freelancing-platform-escrow-scorecard,override,1.000
student-novel-promo-side-income-evening-blocks,ways-for-extra-income-student-novel-promo-playbook,override,1.000
student-side-hustle-ideas-campus-caps,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-lanes,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-schedule,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
student-side-hustle-ideas-campus-time-blocks,side-hustles-for-students--beginners-4-zero-experience-paths-to-start-earning,override,1.000
to-do-money-freelance-platform-comparison,to-do-money-curated-gig-escrow-map,override,1.000
upwork-survival-playbook-freelance-escrow,upwork-freelance-survival-guide-2026,override,1.000
virtual-stores-info-arbitrage-starter,virtual-product-stores-three-platforms-guide,override,1.000
virtual-stores-side-hustle-digital-sku-loop,virtual-product-stores-three-platforms-guide,override,1.000
virtual-ways-make-money-three-platform-sleeve,three-platform-virtual-store-side-hustle-test,override,1.000
ways-for-students-to-earn-money-online-with-ai-short-fiction,student-ai-fiction-writing-side-income,override,1.000
ways-make-money-freelancing-platform-scorecard,earn-money-from-freelancing-platform-escrow-scorecard,override,1.000
ways-passive-income-online-cash-stack,boring-path-passive-income-index-funds-reits,override,1.000
ways-to-make-profit-pdd-relay-cell,work-from-home-money-earning-pdd-virtual-roi-cell,override,1.000
wfh-virtual-triad-remote-income-lanes,online-work-from-home-side-hustles-virtual-triad,override,1.000
work-earn-online-freelance-caps-evening,earn-money-online-freelancing-five-platforms-2026,override,1.000
work-from-home-money-earning-evening-blocks,work-from-home-evening-money-blocks-guide,override,1.000
work-from-home-money-earning-caps-evening,eight-zero-barrier-side-hustles-from-home-2025,override,1.000
work-from-home-money-earning-virtual-triad,online-work-from-home-side-hustles-virtual-triad,override,1.000
xiaohongshu-monetization-weighted-notes-shop-relay,xiaohongshu-monetization-note-commerce-grid,override,1.000
